time,Avg_I_L1,Min_I_L1,Max_I_L1,Avg_I_L2,Min_I_L2,Max_I_L2,Avg_I_L3,Min_I_L3,Max_I_L3,Avg_U_L1,Min_U_L1,Max_U_L1,Avg_U_L2,Min_U_L2,Max_U_L2,Avg_U_L3,Min_U_L3,Max_U_L3,Avg_b_charge,Min_b_charge,Max_b_charge,Avg_P,Min_P,Max_P,Avg_Q,Min_Q,Max_Q
01.01.1840 00:00:00,94.86,94.44,107.13,82.43,118.24,88.68,103.40,2.70,101.41,97.41,28.74,22.86,110.71,40.48,72.83,99.53,18.33,41.48,74.25,87.69,102.73,47.28,31.91,72.00,40.55,70.59,40.24
01.01.1840 00:05:00,52.91,104.21,7.53,27.40,111.64,27.23,45.88,42.78,89.43,91.56,26.14,52.43,31.67,71.98,16.98,44.35,98.17,50.49,53.81,14.93,13.68,32.40,45.88,83.68,18.28,33.36,53.40
01.01.1840 00:10:00,7.86,40.20,101.47,61.30,111.80,15.04,56.33,42.72,51.19,48.02,77.54,86.49,77.23,28.22,38.32,43.31,34.46,88.00,62.60,72.97,81.93,0.53,66.47,82.30,22.61,80.55,45.83
01.01.1840 00:15:00,115.33,11.98,115.01,33.21,112.98,36.83,38.45,3.26,37.11,15.11,30.38,14.86,79.78,9.28,71.51,100.47,42.91,55.23,84.89,92.38,20.74,63.15,13.98,59.95,27.42,73.18,49.53
01.01.1840 00:20:00,100.82,33.53,69.22,35.86,51.56,15.64,34.66,35.06,18.20,82.48,58.10,25.51,35.28,71.98,72.31,70.65,76.23,75.81,91.00,72.24,32.53,65.55,33.96,26.44,67.95,15.26,27.57
01.01.1840 00:25:00,94.14,111.13,31.46,20.17,42.67,18.22,78.74,18.42,119.34,30.55,18.46,90.20,32.40,7.27,107.72,119.03,89.77,117.89,63.17,79.70,80.09,6.11,107.86,71.74,80.26,19.88,119.07
01.01.1840 00:30:00,71.63,29.90,52.32,29.41,116.76,22.71,35.38,47.76,94.07,95.92,4.71,69.19,13.78,21.50,50.83,104.89,110.82,69.01,3.35,22.27,65.96,80.14,102.25,104.56,40.44,116.79,79.87
01.01.1840 00:35:00,98.79,90.28,39.15,81.84,106.69,89.91,0.21,61.74,85.78,91.06,109.98,15.72,76.39,51.25,102.37,87.75,42.66,66.79,110.05,71.52,114.28,66.09,68.83,15.75,42.29,119.24,56.76
01.01.1840 00:40:00,55.68,76.39,114.14,93.33,51.72,40.44,47.38,96.86,11.49,42.13,85.26,15.41,76.88,73.33,107.99,67.58,31.94,92.51,67.71,83.05,5.24,95.48,76.85,119.83,67.89,80.65,74.52
01.01.1840 00:45:00,99.45,80.32,87.81,103.66,66.41,62.30,118.37,15.39,37.29,33.10,92.82,8.55,38.95,13.78,34.72,115.82,25.28,6.65,101.19,37.79,61.43,61.54,92.50,103.46,103.70,82.75,111.64
01.01.1840 00:50:00,62.52,39.22,65.50,38.81,50.28,43.56,76.33,34.16,107.42,104.32,97.85,6.45,21.71,4.05,60.93,102.31,5.33,61.63,42.94,14.00,40.35,78.91,115.58,25.03,112.09,80.46,86.00
01.01.1840 00:55:00,22.44,91.29,116.45,38.71,91.14,108.59,96.77,51.87,1.67,79.10,104.91,102.28,103.36,21.48,55.59,23.71,73.61,57.25,12.93,27.66,109.47,49.95,64.59,47.93,31.61,4.02,36.83
01.01.1840 01:00:00,111.18,25.86,69.11,82.63,20.32,58.14,19.67,89.35,3.13,63.50,18.22,0.97,12.28,16.03,50.36,29.43,37.71,50.14,53.07,42.47,15.87,112.28,98.11,76.89,56.64,3.35,37.62
01.01.1840 01:05:00,51.13,58.39,3.62,0.56,48.76,7.13,58.91,109.07,0.14,101.62,97.54,58.59,119.62,93.56,48.38,21.46,63.85,64.49,70.02,8.35,24.69,8.70,118.92,23.94,94.73,95.54,40.29
01.01.1840 01:10:00,8.59,94.33,68.28,42.89,109.01,28.17,29.57,15.83,89.56,80.92,12.99,16.69,56.39,51.38,93.88,41.49,101.15,3.02,50.20,58.99,42.62,10.32,113.06,118.56,18.86,118.43,20.66
01.01.1840 01:15:00,55.88,36.12,70.28,2.52,12.06,99.84,22.58,53.77,88.59,99.57,112.22,40.74,113.16,56.38,56.96,60.74,119.77,55.47,15.30,8.62,115.94,25.67,77.34,35.68,111.52,47.59,58.99
01.01.1840 01:20:00,100.94,26.68,18.57,67.54,1.84,62.02,106.81,88.15,75.09,39.62,60.61,114.65,84.22,8.57,40.76,100.77,81.14,11.89,88.38,54.65,35.58,87.19,28.35,73.29,14.69,11.51,88.22
01.01.1840 01:25:00,33.49,109.29,73.12,44.93,92.26,23.61,90.05,31.45,113.80,52.69,50.61,50.96,69.80,106.16,3.69,6.14,27.49,87.35,73.13,21.94,77.54,85.99,14.37,28.55,81.51,49.96,39.01
01.01.1840 01:30:00,15.96,7.00,52.65,4.67,105.13,51.64,112.78,91.94,18.35,64.12,109.84,81.00,95.67,80.17,12.54,99.58,98.56,78.95,40.61,47.96,45.87,13.10,14.55,31.92,30.60,76.45,10.14
01.01.1840 01:35:00,39.46,34.90,7.98,60.09,75.90,5.35,13.36,97.72,114.46,14.38,7.66,18.30,3.26,97.28,40.66,53.25,52.31,98.91,56.60,17.17,7.55,72.73,6.36,95.77,4.51,26.78,94.59
01.01.1840 01:40:00,93.58,43.55,72.40,32.55,9.71,84.17,84.50,28.89,48.98,32.61,25.88,16.09,6.58,91.97,86.26,108.41,61.17,92.53,63.83,111.06,82.46,38.65,66.61,75.59,114.54,24.53,93.91
01.01.1840 01:45:00,31.24,21.67,44.59,62.89,13.99,24.72,60.76,9.24,5.92,87.79,118.67,35.48,63.55,32.71,33.15,20.95,47.92,83.97,74.72,103.72,115.97,54.97,113.10,34.85,76.51,5.01,38.79
01.01.1840 01:50:00,33.25,7.77,73.11,1.15,93.67,33.47,25.41,115.94,63.51,72.85,27.85,102.60,16.60,101.60,98.50,18.97,69.49,15.15,2.99,50.37,51.19,47.55,57.96,5.92,39.57,93.81,64.11
01.01.1840 01:55:00,19.21,115.72,66.26,58.91,37.36,89.71,32.42,59.23,107.39,25.65,49.91,84.48,118.23,71.08,55.07,7.38,87.57,43.31,72.41,86.88,72.29,12.84,51.05,92.73,47.72,108.51,67.16
01.01.1840 02:00:00,29.63,112.26,107.82,88.53,116.34,23.62,56.76,117.24,0.92,5.35,72.84,39.72,91.02,34.54,36.60,53.43,78.57,21.69,97.29,83.90,58.58,34.53,3.13,28.24,5.22,39.11,67.87
01.01.1840 02:05:00,36.76,9.11,0.15,101.98,101.11,65.14,21.73,16.82,43.54,36.23,64.57,19.45,24.86,40.55,108.90,30.88,47.32,93.61,24.55,114.73,18.56,98.56,18.41,34.65,6.91,110.97,20.01
01.01.1840 02:10:00,42.52,40.71,62.57,18.20,110.50,101.30,47.47,105.70,74.69,94.15,19.27,89.79,92.38,19.75,42.87,96.64,24.06,102.03,113.05,104.72,67.56,97.52,42.38,118.65,11.02,23.07,73.43
01.01.1840 02:15:00,3.87,13.13,76.34,75.26,77.97,58.41,40.18,78.89,33.82,31.47,60.64,104.61,103.56,12.05,71.27,115.50,20.90,14.64,116.67,65.91,49.13,90.55,86.37,83.45,26.82,89.06,73.70
01.01.1840 02:20:00,92.90,15.68,109.18,108.47,71.18,88.78,49.08,24.53,119.13,101.38,61.74,17.29,56.26,27.20,55.12,65.08,103.89,92.61,38.59,117.58,21.73,94.57,85.29,21.02,103.82,67.56,62.09
01.01.1840 02:25:00,46.08,119.59,31.32,107.34,119.48,41.80,116.58,34.97,110.78,1.15,91.39,71.55,80.96,32.83,58.10,21.30,86.51,51.13,15.42,35.89,43.13,10.68,77.28,65.42,69.34,99.09,1.38
01.01.1840 02:30:00,110.21,54.16,46.65,110.23,116.11,20.98,93.60,50.38,78.72,1.95,43.37,45.34,75.06,32.59,111.25,41.48,21.99,107.07,101.98,25.92,62.01,45.90,27.30,52.86,77.26,38.49,10.52
01.01.1840 02:35:00,41.26,14.52,24.04,16.79,85.47,112.28,28.23,0.47,113.39,6.64,6.85,26.26,44.07,71.35,49.31,62.58,62.76,7.16,30.14,32.31,2.03,35.09,5.39,92.70,45.61,105.98,90.62
01.01.1840 02:40:00,35.43,33.17,104.53,52.42,56.13,79.70,22.25,0.15,109.70,21.62,100.41,40.94,9.82,46.09,66.97,34.98,73.69,25.67,26.71,99.12,57.80,104.44,108.64,45.34,16.97,43.23,5.36
01.01.1840 02:45:00,12.13,6.40,101.15,75.65,53.65,86.55,85.13,50.82,92.81,70.94,118.18,93.48,102.39,90.28,47.86,38.22,95.50,38.45,25.90,36.69,103.78,97.34,49.94,22.15,39.70,76.04,105.54
01.01.1840 02:50:00,77.03,88.66,95.21,67.51,53.79,73.45,82.33,91.73,108.61,33.50,65.35,50.88,27.70,35.09,80.27,43.09,20.18,27.16,20.86,41.50,68.39,108.88,42.82,110.96,38.29,85.29,68.46
01.01.1840 02:55:00,98.77,16.17,109.41,53.08,54.58,102.56,94.21,30.02,6.32,98.56,75.17,63.81,92.09,44.04,109.09,115.74,49.03,78.75,71.42,61.62,94.75,58.95,39.54,11.02,11.17,31.22,104.76
